Nome,Construção,Linha,Inauguração,Idade
Ceasa,CPTM,9,1981-04-04,38
Cidade Jardim,CPTM,9,2000-06-30,19
Cidade Universitária,CPTM,9,1981-05-04,38
Grajaú,CPTM,9,1992-09-26,27
Granja Julieta,CPTM,9,2000-05-04,19
Hebraica-Rebouças,CPTM,9,2000-06-14,19
Jurubatuba,CPTM,9,1957-01-25,62
Morumbi,CPTM,9,1957-01-25,62
Pinheiros (Linha 9-Esmeralda),CPTM,9,1981-04-04,38
Primavera–Interlagos,CPTM,9,2008-04-21,11
Santo Amaro (Linha 9-Esmeralda),CPTM,9,1986-01-26,33
Socorro,CPTM,9,1960-11-11,59
Vila Olímpia,CPTM,9,2001-03-23,18
Villa Lobos-Jaguaré,CPTM,9,1981-04-04,38
Capuava,CPTM,10,1920-09-15,99
Guapituba,CPTM,10,1983-06-04,36
Ipiranga,CPTM,10,1886-04-01,133
Juventus-Mooca,CPTM,10,1898-10-07,121
Mauá,CPTM,10,1883-04-01,136
Prefeito Saladino,CPTM,10,1952-11-29,67
Ribeirão Pires,CPTM,10,1885-03-01,134
Rio Grande da Serra,CPTM,10,1867-02-16,152
Santo André,CPTM,10,1867-02-16,152
São Caetano do Sul,CPTM,10,1883-05-01,136
Tamanduateí (Linha 10-Turquesa),CPTM,10,1947-01-01,73
Utinga,CPTM,10,1933-08-01,86
Antônio Gianetti Neto,CPTM,11,1998-01-10,22
Braz Cubas,CPTM,11,1929-09-13,90
Calmon Viana (Linha 11-Coral),CPTM,11,1924-05-03,95
Corinthians-Itaquera (Linha 11-Coral),Metrô,11,2000-05-27,19
Dom Bosco,Metrô,11,2000-04-27,19
Estudantes,CPTM,11,1976-11-10,43
Ferraz de Vasconcelos,CPTM,11,1926-07-29,93
Guaianases,Metrô,11,2000-05-27,19
José Bonifácio,Metrô,11,2000-05-27,19
Jundiapeba,CPTM,11,1914-07-20,105
Mogi das Cruzes,CPTM,11,1875-11-06,144
Poá,CPTM,11,1875-01-06,145
Suzano,CPTM,11,1875-11-06,144
Aracaré,CPTM,12,1950-08-20,69
Comendador Ermelino,CPTM,12,1934-01-01,86
Engenheiro Goulart (Linha 12-Safira),CPTM,12,1934-01-01,86
Engenheiro Manoel Feio,CPTM,12,1926-02-07,93
Itaim Paulista,CPTM,12,1926-02-07,93
Itaquaquecetuba,CPTM,12,1926-02-07,93
Jardim Helena–Vila Mara,CPTM,12,2008-05-28,11
Jardim Romano,CPTM,12,2008-07-16,11
São Miguel Paulista,CPTM,12,1934-01-01,86
USP Leste,CPTM,12,2008-01-29,11
Aeroporto–Guarulhos,CPTM,13,2018-03-31,1
Guarulhos-CECAP,CPTM,13,2018-03-31,1
Camilo Haddad,Metrô,15,2018-04-06,1
Fazenda da Juta,Metrô,15,2019-12-16,0
Jardim Planalto,Metrô,15,2019-08-26,0
Oratório,Metrô,15,2014-08-30,5
Sapopemba,Metrô,15,2019-12-16,0
São Lucas,Metrô,15,2018-04-06,1
São Mateus,Metrô,15,2019-12-16,0
Vila Prudente (Linha 15-Prata),Metrô,15,2014-08-30,5
Vila Tolstói,Metrô,15,2018-04-06,1
Vila União,Metrô,15,2018-04-06,1
